query,iter0_CP,iter0_AA,iter0_FA,iter0_KC,iter0_SC,iter0_AD,iter1_CP,iter1_AA,iter1_FA,iter1_KC,iter1_SC,iter1_AD,iter2_CP,iter2_AA,iter2_FA,iter2_KC,iter2_SC,iter2_AD,iter3_CP,iter3_AA,iter3_FA,iter3_KC,iter3_SC,iter3_AD,iter4_CP,iter4_AA,iter4_FA,iter4_KC,iter4_SC,iter4_AD
"If I were to wear a replacement jacket I would need to examine what the weather conditions were outside. If it were winter I would want to ensure that it has proper insulation and a decent length. My current favourite coat for winter goes down to my knees, so I would look for a replacement of that length. As well I would like a fur lined hood, and pockets both on the interior and exterior of the jacket. Please provide some product recommendations for me",0.83,1.0,1.0,0.67,0.5,0.5,0.83,1.0,1.0,0.5,0.33,0.33,0.83,0.83,0.83,0.67,0.67,0.5,0.83,1.0,1.0,0.67,0.5,0.5,0.83,1.0,1.0,1.0,0.67,0.67
"something simple, not too flashy or colourful, not an expensive brand Please provide some product recommendations for me",0.83,1.0,1.0,1.0,0.67,0.5,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.67,0.83,1.0,1.0,1.0,0.83,1.0,0.83,1.0,1.0,1.0,1.0,1.0
I'd like to find a wool jacket which will be warm enough to wear through the winter. Preferably in black or grey with buttons. Something fairly smart. Please provide some product recommendations for me,0.83,0.83,0.83,0.67,0.67,0.5,0.83,1.0,1.0,0.67,0.67,0.33,0.83,1.0,1.0,0.67,0.5,0.5,0.83,1.0,1.0,0.83,0.83,0.5,0.83,0.83,0.83,0.67,0.67,0.5
"I would choose an expensive gaming laptop of some form, with a fast 1TB SSD, good battery life, light to carry around and use on your lap and lastly one that is balanced in both CPU and GPU performance. Please provide some product recommendations for me",0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1.0,0.83,0.83,0.5,0.83,1.0,1.0,0.5,0.33,0.33,0.83,1.0,1.0,1.0,0.33,0.33,0.83,1.0,1.0,0.67,0.67,0.5
"An All Saints black leather jacket, the classic soft leather design Please provide some product recommendations for me",0.83,1.0,1.0,1.0,0.83,0.67,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.67,0.83,1.0,1.0,1.0,0.83,0.67
"I'm looking for a warm, simple everyday jacket that is waterproof. I would like it to be grey or blue. It should work for city life, and be short. I should have a hood. Please provide some product recommendations for me",0.83,1.0,0.83,0.67,0.83,0.83,0.83,1.0,1.0,0.67,0.83,0.83,0.83,1.0,1.0,0.67,0.83,0.83,0.83,1.0,1.0,0.83,0.5,0.5,0.83,1.0,1.0,0.83,0.83,0.83
"I would a jacket that is navy in colour, waterproof that also is wind resistant, and has a hood. Just something that is practical for everyday. Please provide some product recommendations for me",0.83,0.83,0.83,0.83,0.83,0.67,0.83,1.0,1.0,1.0,0.83,0.67,0.83,1.0,1.0,1.0,1.0,0.83,0.83,0.83,0.83,1.0,0.83,0.83,0.83,1.0,1.0,1.0,1.0,0.83
A jacket that I can use for the upcoming summer months so it would not be too thick but have a hood incase it rains Please provide some product recommendations for me,0.83,1.0,1.0,0.5,0.67,0.67,0.83,1.0,1.0,0.5,0.33,0.5,0.83,1.0,1.0,1.0,1.0,1.0,0.83,0.83,0.67,0.5,0.5,0.67,0.83,0.83,0.83,0.5,0.67,0.67
"I would buy another Lenovo laptop with at least a 22 screen and an Intel Core i7 processor. I'd ideally like it to have a decent graphics card, preferably Nvidia and a seperate numerical keyboard. I'd probably opt for a black one. Please provide some product recommendations for me",0.83,1.0,1.0,0.83,0.83,0.5,0.83,1.0,1.0,0.83,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,1.0,0.83,0.83
I lost my denim jacket and would need to replace it with one of a very similar type. Short with collar and pockets Please provide some product recommendations for me,0.83,1.0,1.0,0.0,0.5,0.67,0.83,0.83,0.83,0.5,0.83,0.83,0.83,1.0,1.0,0.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0
I need to buy a new jacket. I'll probably get a black one with loads of pockets. Something really thick so I don't get cold. Please provide some product recommendations for me,0.83,1.0,1.0,0.83,0.67,0.5,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,0.83,0.83,0.83,0.83,1.0,1.0,0.67,0.83,0.83,0.83,1.0,0.83,0.83,0.67,0.5
I want a laptop with a good memory and processing speed. One that is easy to use abs looks good also. And not too expensive. Please provide some product recommendations for me,0.83,1.0,1.0,1.0,0.83,1.0,0.83,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,0.83,0.83,1.0,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.83
The jacket is really warm and has lots of padding to keep me cosy. It had a large hood with a fur trim. It is waterproof. It very long to keep my body warm. Please provide some product recommendations for me,0.83,1.0,1.0,1.0,0.83,0.67,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,0.83,0.83
"I would like one that is lightweight, has a really good battery life and a clear screen. Please provide some product recommendations for me",0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.83
I would get something that works for both spring and fall. Maybe with a zip out liner. It would need to be waterproof. Please provide some product recommendations for me,0.83,1.0,1.0,1.0,0.83,0.67,0.83,1.0,1.0,1.0,0.83,0.67,0.83,1.0,1.0,1.0,0.83,0.67,1.0,1.0,1.0,1.0,1.0,0.83,0.83,1.0,1.0,1.0,0.83,0.67
"A second-hand or vintage mid-weight jacket, or one from a sustainable brand. Please provide some product recommendations for me",0.83,1.0,1.0,0.83,1.0,0.67,0.83,1.0,1.0,0.83,0.83,0.33,0.83,1.0,1.0,0.83,0.83,0.67,0.83,1.0,1.0,0.83,0.83,0.67,0.83,1.0,1.0,0.83,0.67,0.67
a small tablet like computer with surface pen . Now I will be able to use the tools by touch screen or a pen. there is a lot more memory and a the ability to link to my phone and tv. its runs faster and has built in protection and word package free. Please provide some product recommendations for me,1.0,1.0,1.0,1.0,0.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.83,1.0,1.0,1.0,1.0,1.0,1.0
"I want a jacket that has a zipper for easy access to take on and off. I want the jacket to be blue, gray, or black, as those colors are easy to match and are a staple in my wardrobe. I want the jacket to be soft and comfortable and cozy. I want the jacket to also have a hood that I can wear on my head in case I get too cold, or I can put it down in case I get too warm. Please provide some product recommendations for me",0.83,1.0,1.0,0.33,0.67,0.5,0.83,1.0,1.0,0.5,0.67,0.5,0.83,1.0,1.0,0.5,0.83,0.33,0.83,1.0,0.83,0.5,0.67,0.33,0.83,1.0,1.0,0.5,0.5,0.33
"I would like the new Jacket to be water proof, full lengh with a hood. The colour would have to be dark such as black or brown. Must have buttons maybe double breasted, No zip.. V neck also in the design.. It would also have to have pockets and a side pocket to store my phone  Fully lined with a warm fleece. Please provide some product recommendations for me",0.83,1.0,1.0,0.67,0.83,0.67,0.83,1.0,1.0,1.0,0.83,0.67,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.67,0.67,0.83,1.0,1.0,1.0,0.83,0.83
I'm buying a new Macbook Air with an extended warranty and an extra plug. Please provide some product recommendations for me,0.83,1.0,1.0,0.33,0.67,0.67,0.83,1.0,1.0,0.67,0.83,0.67,0.83,1.0,1.0,0.83,0.83,0.83,0.83,1.0,1.0,1.0,1.0,0.83,0.83,1.0,1.0,0.83,0.83,0.83
I would buy something light and wind proof that is long enough to cover my bum! Please provide some product recommendations for me,0.83,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0
Apple laptop because I believe them to be the most secure. Also I think they are the most reliable laptop to own and the easiest to use. They also have dedicated shops with one to one help in store if you have any questions on how to use them. Please provide some product recommendations for me,0.83,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.83,0.83,1.0,1.0,1.0,0.83,0.83
I’m going to buy a laptop for admin and using the internet at home Please provide some product recommendations for me,0.83,1.0,1.0,1.0,1.0,1.0,0.83,1.0,1.0,1.0,0.83,0.67,0.83,1.0,1.0,1.0,0.67,0.5,0.83,1.0,1.0,1.0,0.83,0.83,0.0,0.0,0.0,0.0,0.0,0.0
"A hooded jacket in a very soft and light material. It has very fine multicoloured stripes, big pockets and a tie belt. Please provide some product recommendations for me",0.83,0.83,0.83,0.5,0.5,0.5,0.83,1.0,1.0,0.83,0.83,0.83,0.83,1.0,1.0,0.67,0.83,0.83,0.83,0.83,0.83,0.33,0.67,0.67,0.83,1.0,1.0,0.83,0.83,0.83
"The laptop should at least run Windows 10 properly without errors, it should be a well recognized brand but not too expensive, large RAM and a quick processor and ans easy to use interface and keyboard. Please provide some product recommendations for me",0.83,0.83,0.83,0.33,0.33,0.5,0.83,1.0,1.0,0.5,0.67,0.67,0.83,1.0,1.0,0.67,0.5,0.67,0.83,1.0,1.0,0.5,0.67,0.67,0.83,1.0,1.0,0.83,0.83,0.83
